Altium Designer Pick and Place Locations,,,,,,,,,,,
C:\Users\hp\Desktop\Automatic Solar Panel Cleaner(Part4)\Auto-Solar-Cleaner (PCB)\Auto-Solar-Cleaner\Project Outputs for Auto-Solar-Cleaner\Pick Place for SOLAR_CLEANER_PCB.csv,,,,,,,,,,,
,,,,,,,,,,,
========================================================================================================================,,,,,,,,,,,
File Design Information:,,,,,,,,,,,
,,,,,,,,,,,
Date:       25/04/21,,,,,,,,,,,
Time:       04:42,,,,,,,,,,,
Revision:   Not in VersionControl,,,,,,,,,,,
Variant:    No variations,,,,,,,,,,,
Units used: mil,,,,,,,,,,,
,,,,,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mil),Center-Y(mil),Rotation,Description,Ref-X(mil),Ref-Y(mil),Pad-X(mil),Pad-Y(mil)
J1,Jumper,TopLayer,HDR1X2,2803.937mil,1748.032mil,180,"Header, 2-Pin",2853.937mil,1748.032mil,2853.937mil,1748.032mil
U4,AMS117-3.3,TopLayer,SOT-223,3418.354mil,1546.244mil,270,"AMS1117-3.3, Voltage Regulator",3415.354mil,1547.244mil,3508.906mil,1658.448mil
C15,10uF,TopLayer,SMD-0805C,3612.205mil,1590.551mil,180,CAP CER 10000PF 250V X7T 0805,3612.205mil,1590.551mil,3612.205mil,1550.551mil
C14,10uF,TopLayer,SMD-0805C,3196.063mil,1641.339mil,270,CAP CER 10000PF 250V X7T 0805,3196.063mil,1641.339mil,3236.063mil,1641.339mil
RN3,10K,TopLayer,RA0603-8,3368.110mil,1818.898mil,0,"330 Ohm ±5% 62.5mW Power Per Element Isolated Resistor Network/Array ±200ppm/°C 1206 _3216 Metric_, Convex, Long Side Terminals",3368.110mil,1818.898mil,3314.961mil,1788.898mil
W_PUMP,Water Pump Motor,TopLayer,Header_I2,5190.945mil,1183.858mil,180,2-pin single line header (in Blue/green color) Normal,5151.575mil,1144.488mil,5190.945mil,1085.433mil
BR_MT,Brush motor,TopLayer,Header_I2,5190.945mil,590.551mil,180,2-pin single line header (in Blue/green color) Normal,5151.575mil,551.181mil,5190.945mil,492.126mil
